ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-04-28T00:00:00.000+0000,10.32340432351818,4.1710326543122465,17.65253686248706,10.32340432351818,10.32340432351818,0.47857411053329263,0.47857411053329263,0.47857411053329263,0.3583980850242801,0.3583980850242801,0.3583980850242801,0.1201760255090125,0.1201760255090125,0.1201760255090125,0,0,0,10.801978434051472
2017-04-29T00:00:00.000+0000,10.327159823560997,1.570884944750652,15.914677483252683,10.327159823560997,10.327159823560997,-1.4863214610573303,-1.4863214610573303,-1.4863214610573303,-1.6327891319863905,-1.6327891319863905,-1.6327891319863905,0.14646767092906013,0.14646767092906013,0.14646767092906013,0,0,0,8.840838362503668
2017-04-30T00:00:00.000+0000,10.330915323603815,2.223186833576916,16.160733336604512,10.330915323603815,10.330915323603815,-1.2398858930648387,-1.2398858930648387,-1.2398858930648387,-1.405687163017723,-1.405687163017723,-1.405687163017723,0.1658012699528844,0.1658012699528844,0.1658012699528844,0,0,0,9.091029430538976
2017-05-01T00:00:00.000+0000,10.33467082364664,3.147023616666311,16.945627283129646,10.33467082364664,10.33467082364664,0.05458149554795742,0.05458149554795742,0.05458149554795742,-0.12293622205677995,-0.12293622205677995,-0.12293622205677995,0.17751771760473736,0.17751771760473736,0.17751771760473736,0,0,0,10.389252319194597
2017-05-02T00:00:00.000+0000,10.338426323689465,4.408501372191594,17.571817021076427,10.338426323689465,10.338426323689465,0.8243205628708076,0.8243205628708076,0.8243205628708076,0.6431158180465547,0.6431158180465547,0.6431158180465547,0.18120474482425283,0.18120474482425283,0.18120474482425283,0,0,0,11.162746886560273
2017-05-03T00:00:00.000+0000,10.34218182373229,4.6863351068411845,17.92349630004318,10.34218182373229,10.34218182373229,1.130201643558188,1.130201643558188,1.130201643558188,0.9534895139950563,0.9534895139950563,0.9534895139950563,0.17671212956313173,0.17671212956313173,0.17671212956313173,0,0,0,11.472383467290477
2017-05-04T00:00:00.000+0000,10.345937323775106,5.1746239406809815,18.394284553731342,10.345937323775106,10.345937323775106,1.3705687918260123,1.3705687918260123,1.3705687918260123,1.2064090999995096,1.2064090999995096,1.2064090999995096,0.16415969182650278,0.16415969182650278,0.16415969182650278,0,0,0,11.716506115601117
2017-05-05T00:00:00.000+0000,10.34969282381793,4.312195971237749,17.319582053732077,10.34969282381793,10.34969282381793,0.5023358451449734,0.5023358451449734,0.5023358451449734,0.35839808502299536,0.35839808502299536,0.35839808502299536,0.14393776012197812,0.14393776012197812,0.14393776012197812,0,0,0,10.852028668962904
2017-05-06T00:00:00.000+0000,10.353448323860755,1.766296595266932,15.665114722705306,10.353448323860755,10.353448323860755,-1.5160891305170112,-1.5160891305170112,-1.5160891305170112,-1.6327891319873067,-1.6327891319873067,-1.6327891319873067,0.11670000147029541,0.11670000147029541,0.11670000147029541,0,0,0,8.837359193343744
2017-05-07T00:00:00.000+0000,10.357203823903573,2.3956311160359447,15.66503659883015,10.357203823903573,10.357203823903573,-1.3223384462895833,-1.3223384462895833,-1.3223384462895833,-1.4056871630196675,-1.4056871630196675,-1.4056871630196675,0.08334871673008416,0.08334871673008416,0.08334871673008416,0,0,0,9.03486537761399
2017-05-08T00:00:00.000+0000,10.360959323946398,3.303544102931857,17.144105506121658,10.360959323946398,10.360959323946398,-0.0779233103615889,-0.0779233103615889,-0.0779233103615889,-0.12293622205634394,-0.12293622205634394,-0.12293622205634394,0.04501291169475504,0.04501291169475504,0.04501291169475504,0,0,0,10.283036013584809
2017-05-09T00:00:00.000+0000,10.364714823989216,4.632269780270398,17.702670523167257,10.364714823989216,10.364714823989216,0.646135474464117,0.646135474464117,0.646135474464117,0.6431158180460601,0.6431158180460601,0.6431158180460601,0.0030196564180568018,0.0030196564180568018,0.0030196564180568018,0,0,0,11.010850298453333
2017-05-10T00:00:00.000+0000,10.36932111215896,4.525813230933735,17.457505025687922,10.36932111215896,10.36932111215896,0.912348948858525,0.912348948858525,0.912348948858525,0.9534895139946123,0.9534895139946123,0.9534895139946123,-0.04114056513608741,-0.04114056513608741,-0.04114056513608741,0,0,0,11.281670061017486
2017-05-11T00:00:00.000+0000,10.373927400328693,4.376120159462877,18.39144037343187,10.373927400328693,10.373927400328693,1.12055545892885,1.12055545892885,1.12055545892885,1.206409099999865,1.206409099999865,1.206409099999865,-0.08585364107101487,-0.08585364107101487,-0.08585364107101487,0,0,0,11.494482859257543
2017-05-12T00:00:00.000+0000,10.37853368849844,3.965156771149061,17.230881403311102,10.37853368849844,10.37853368849844,0.22897235528321278,0.22897235528321278,0.22897235528321278,0.3583980850217108,0.3583980850217108,0.3583980850217108,-0.12942572973849803,-0.12942572973849803,-0.12942572973849803,0,0,0,10.607506043781653
2017-05-13T00:00:00.000+0000,10.383139976668186,1.3715186415038276,14.997616621701109,10.383139976668186,10.383139976668186,-1.8029192561338578,-1.8029192561338578,-1.8029192561338578,-1.6327891319882228,-1.6327891319882228,-1.6327891319882228,-0.1701301241456351,-0.1701301241456351,-0.1701301241456351,0,0,0,8.580220720534328
2017-05-14T00:00:00.000+0000,10.387746264837917,1.9461840039168226,15.773259084382397,10.387746264837917,10.387746264837917,-1.6119430074659544,-1.6119430074659544,-1.6119430074659544,-1.4056871630208385,-1.4056871630208385,-1.4056871630208385,-0.20625584444511597,-0.20625584444511597,-0.20625584444511597,0,0,0,8.775803257371962
2017-05-15T00:00:00.000+0000,10.392352553007663,4.0500948206030944,16.861854477820902,10.392352553007663,10.392352553007663,-0.3590928833288164,-0.3590928833288164,-0.3590928833288164,-0.12293622205718922,-0.12293622205718922,-0.12293622205718922,-0.23615666127162713,-0.23615666127162713,-0.23615666127162713,0,0,0,10.033259669678847
2017-05-16T00:00:00.000+0000,10.39695884117741,4.035875574933984,17.574559787133406,10.39695884117741,10.39695884117741,0.384816589538892,0.384816589538892,0.384816589538892,0.6431158180460701,0.6431158180460701,0.6431158180460701,-0.2582992285071782,-0.2582992285071782,-0.2582992285071782,0,0,0,10.781775430716301
2017-05-17T00:00:00.000+0000,10.40156512934714,4.406494161076394,17.879838240421027,10.40156512934714,10.40156512934714,0.6821804983802517,0.6821804983802517,0.6821804983802517,0.9534895139943936,0.9534895139943936,0.9534895139943936,-0.27130901561414195,-0.27130901561414195,-0.27130901561414195,0,0,0,11.083745627727392
2017-05-18T00:00:00.000+0000,10.406171417516887,4.556658849672209,18.03521255862313,10.406171417516887,10.406171417516887,0.9323963231584573,0.9323963231584573,0.9323963231584573,1.2064090999996573,1.2064090999996573,1.2064090999996573,-0.27401277684120007,-0.27401277684120007,-0.27401277684120007,0,0,0,11.338567740675344
2017-05-19T00:00:00.000+0000,10.410777705686634,3.7788482509291197,17.513997724753192,10.410777705686634,10.410777705686634,0.09292170874449472,0.09292170874449472,0.09292170874449472,0.35839808502014714,0.35839808502014714,0.35839808502014714,-0.26547637627565246,-0.26547637627565246,-0.26547637627565246,0,0,0,10.503699414431129
